Paper_ID,DOI,Material_Parent_ID,ML_Condition_ID,Observation_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Confidence,Recovery_Status
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,FCC_lattice_a_XRD_A,3.634,A,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,Effective_TRIP,1.0,binary,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,Slip,1,binary,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,Fe_at%,39.13,at.%,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,Mn_at%,41.23,at.%,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,Co_at%,9.98,at.%,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,Cr_at%,9.06,at.%,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,C_at%,0.6,at.%,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,SFE_mJ_m2,-3.95,mJ/m2,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,DeltaG_FCC_HCP_J_mol,-370,J/mol,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
