Column_Name,Scientific_Family,Schema_Role,Experimental_Coverage_n,Experimental_Coverage_pct,CORE_M2,Pilot_M2_Action
Recovered_Initial_FCC_fraction,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,13,18.841,False,EXCLUDE
Recovered_Initial_HCP_fraction,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,31,44.928,False,EXCLUDE
Recovered_TRIP,TARGET,TARGET_ONLY,28,40.58,False,EXCLUDE
Recovered_TWIP,TARGET,TARGET_ONLY,29,42.029,False,EXCLUDE
Recovered_Recrystallized_fraction,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,6,8.696,False,EXCLUDE
Recovered_SFE_assumed_for_calculation_mJ_m2,PHYSICS_THERMODYNAMICS,METADATA_ONLY,2,2.899,False,EXCLUDE
Recovery_Provenance_JSON,PROVENANCE_QC,PROVENANCE_ONLY,7,10.145,False,EXCLUDE
Target_Correction_TRIP,TARGET,TARGET_ONLY,0,0.0,False,EXCLUDE
Target_Correction_TWIP,TARGET,TARGET_ONLY,0,0.0,False,EXCLUDE
Resolution_Provenance_JSON,PROVENANCE_QC,PROVENANCE_ONLY,6,8.696,False,EXCLUDE
Effective_TRIP,TARGET,TARGET_ONLY,37,53.623,False,EXCLUDE
Effective_TWIP,TARGET,TARGET_ONLY,36,52.174,False,EXCLUDE
Study_Series_ID,IDENTITY_GROUPING,GROUPING_ONLY,53,76.812,False,EXCLUDE
Material_Parent_ID,IDENTITY_GROUPING,GROUPING_ONLY,53,76.812,False,EXCLUDE
Physical_Batch_ID,IDENTITY_GROUPING,GROUPING_ONLY,0,0.0,False,EXCLUDE
Replicate_ID,IDENTITY_GROUPING,GROUPING_ONLY,0,0.0,False,EXCLUDE
Leakage_Group_Strict,IDENTITY_GROUPING,GROUPING_ONLY,53,76.812,False,EXCLUDE
Leakage_Group_Material,IDENTITY_GROUPING,GROUPING_ONLY,53,76.812,False,EXCLUDE
Parent_Linkage_Status,PROVENANCE_QC,PROVENANCE_ONLY,5,7.246,False,EXCLUDE
Aggregate_Property_Status,PROVENANCE_QC,PROVENANCE_ONLY,8,11.594,False,EXCLUDE
Parent_ML_Condition_ID,IDENTITY_GROUPING,GROUPING_ONLY,52,75.362,False,EXCLUDE
YS_mean,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,18,26.087,False,EXCLUDE
YS_uncertainty,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,10,14.493,False,EXCLUDE
UTS_mean,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,19,27.536,False,EXCLUDE
UTS_uncertainty,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,10,14.493,False,EXCLUDE
TE_mean,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,19,27.536,False,EXCLUDE
TE_uncertainty,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,10,14.493,False,EXCLUDE
UE_mean,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,5,7.246,False,EXCLUDE
UE_uncertainty,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,5,7.246,False,EXCLUDE
Replicate_n,IDENTITY_GROUPING,GROUPING_ONLY,26,37.681,False,EXCLUDE
uncertainty_type,PROVENANCE_QC,PROVENANCE_ONLY,10,14.493,False,EXCLUDE
P008_Record_Role,PROVENANCE_QC,PROVENANCE_ONLY,6,8.696,False,EXCLUDE
P008_Legacy_Mapping_Status,PROVENANCE_QC,PROVENANCE_ONLY,6,8.696,False,EXCLUDE
P008_Source_State,PROCESSING,PREDICTOR_SAFE_CONDITIONAL,6,8.696,False,EXCLUDE
Recovered_Bulk_Composition_at_pct,CHEMISTRY,PREDICTOR_SAFE_DIRECT,6,8.696,False,EXCLUDE
Recovered_Composition_Status,CHEMISTRY,PROVENANCE_ONLY,21,30.435,False,EXCLUDE
Recovered_Processing_route,PROCESSING,PREDICTOR_SAFE_DIRECT,9,13.043,False,EXCLUDE
Recovered_Test_T_Reported,TEST_CONDITIONS,PREDICTOR_SAFE_CONDITIONAL,12,17.391,False,EXCLUDE
Recovered_Test_T_Status,TEST_CONDITIONS,PROVENANCE_ONLY,12,17.391,False,EXCLUDE
Recovered_Grain_size_scope,INITIAL_MICROSTRUCTURE,PROVENANCE_ONLY,16,23.188,False,EXCLUDE
Recovered_Grain_size_status,INITIAL_MICROSTRUCTURE,PROVENANCE_ONLY,9,13.043,False,EXCLUDE
